source,Pubchem_CID,Melting_Point,reference,Substance_CASRN,SMILES,ConnectivitySMILES,InChI,InChIKey,IUPAC_Name
Pubchem,4,34.5 °F,"
            ",78-96-6,CC(CN)O,CC(CN)O,"InChI=1S/C3H9NO/c1-3(5)2-4/h3,5H,2,4H2,1H3",HXKKHQJGJAFBHI-UHFFFAOYSA-N,1-aminopropan-2-ol
Pubchem,6,-54 °C,"
            ",97-00-7,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,InChI=1S/C6H3ClN2O4/c7-5-2-1-4(8(10)11)3-6(5)9(12)13/h1-3H,VYZAHLCBVHPDDF-UHFFFAOYSA-N,"1-chloro-2,4-dinitrobenzene"
Pubchem,11,-31.5 °F,"
            ",107-06-2,C(CCl)Cl,C(CCl)Cl,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,WSLDOOZREJYCGB-UHFFFAOYSA-N,"1,2-dichloroethane"
Pubchem,13,63 °F,"
            ",120-82-1,C1=CC(=C(C=C1Cl)Cl)Cl,C1=CC(=C(C=C1Cl)Cl)Cl,InChI=1S/C6H3Cl3/c7-4-1-2-5(8)6(9)3-4/h1-3H,PBKONEOXTCPAFI-UHFFFAOYSA-N,"1,2,4-trichlorobenzene"
Pubchem,19,204 °C,"
            ",303-38-8,C1=CC(=C(C(=C1)O)O)C(=O)O,C1=CC(=C(C(=C1)O)O)C(=O)O,"InChI=1S/C7H6O4/c8-5-3-1-2-4(6(5)9)7(10)11/h1-3,8-9H,(H,10,11)",GLDQAMYCGOIJDV-UHFFFAOYSA-N,"2,3-dihydroxybenzoic acid"
Pubchem,33,3 °F,"
            ",107-20-0,C(C=O)Cl,C(C=O)Cl,"InChI=1S/C2H3ClO/c3-1-2-4/h2H,1H2",QSKPIOLLBIHNAC-UHFFFAOYSA-N,2-chloroacetaldehyde
Pubchem,34,-89.5 °F,"
            ",107-07-3,C(CCl)O,C(CCl)O,"InChI=1S/C2H5ClO/c3-1-2-4/h4H,1-2H2",SZIFAVKTNFCBPC-UHFFFAOYSA-N,2-chloroethanol
Pubchem,45,158 °C,"
            ",80-69-3,C(C(=O)O)(C(=O)O)O,C(C(=O)O)(C(=O)O)O,"InChI=1S/C3H4O5/c4-1(2(5)6)3(7)8/h1,4H,(H,5,6)(H,7,8)",ROBFUDYVXSDBQM-UHFFFAOYSA-N,2-hydroxypropanedioic acid
Pubchem,49,31.5 °C,"
            ",759-05-7,CC(C)C(=O)C(=O)O,CC(C)C(=O)C(=O)O,"InChI=1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)",QHKABHOOEWYVLI-UHFFFAOYSA-N,3-methyl-2-oxobutanoic acid
Pubchem,51,114 °C (237 °F),"
            ",328-50-7,C(CC(=O)O)C(=O)C(=O)O,C(CC(=O)O)C(=O)C(=O)O,"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)",KPGXRSRHYNQIFN-UHFFFAOYSA-N,2-oxopentanedioic acid
Pubchem,58,33 °C,"
            ",600-18-0,CCC(=O)C(=O)O,CCC(=O)C(=O)O,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)",TYEYBOSBBBHJIV-UHFFFAOYSA-N,2-oxobutanoic acid
Pubchem,66,136 °F,"
            ",583-78-8,C1=CC(=C(C=C1Cl)O)Cl,C1=CC(=C(C=C1Cl)O)Cl,"InChI=1S/C6H4Cl2O/c7-4-1-2-5(8)6(9)3-4/h1-3,9H",RANCECPPZPIPNO-UHFFFAOYSA-N,"2,5-dichlorophenol"
Pubchem,70,10 °C,"
            ",816-66-0,CC(C)CC(=O)C(=O)O,CC(C)CC(=O)C(=O)O,"InChI=1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)",BKAJNAXTPSGJCU-UHFFFAOYSA-N,4-methyl-2-oxopentanoic acid
Pubchem,71,127 °C,"
            ",3184-35-8,C(CC(=O)C(=O)O)CC(=O)O,C(CC(=O)C(=O)O)CC(=O)O,"InChI=1S/C6H8O5/c7-4(6(10)11)2-1-3-5(8)9/h1-3H2,(H,8,9)(H,10,11)",FGSBNBBHOZHUBO-UHFFFAOYSA-N,2-oxohexanedioic acid
Pubchem,72,221 dec °C,"
            ",99-50-3,C1=CC(=C(C=C1C(=O)O)O)O,C1=CC(=C(C=C1C(=O)O)O)O,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)",YQUVCSBJEUQKSH-UHFFFAOYSA-N,"3,4-dihydroxybenzoic acid"
Pubchem,79,51 °C,"
            ",100-54-9,C1=CC(=CN=C1)C#N,C1=CC(=CN=C1)C#N,"InChI=1S/C6H4N2/c7-4-6-2-1-3-8-5-6/h1-3,5H",GZPHSAQLYPIAIN-UHFFFAOYSA-N,pyridine-3-carbonitrile
Pubchem,86,240 °C,"
            ",548-93-6,C1=CC(=C(C(=C1)O)N)C(=O)O,C1=CC(=C(C(=C1)O)N)C(=O)O,"InChI=1S/C7H7NO3/c8-6-4(7(10)11)2-1-3-5(6)9/h1-3,9H,8H2,(H,10,11)",WJXSWCUQABXPFS-UHFFFAOYSA-N,2-amino-3-hydroxybenzoic acid
Pubchem,89,217 °C,"
            ",484-78-6,C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N,C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N,"InChI=1S/C10H12N2O4/c11-6(10(15)16)4-8(14)5-2-1-3-7(13)9(5)12/h1-3,6,13H,4,11-12H2,(H,15,16)",VCKPUUFAIGNJHC-UHFFFAOYSA-N,2-amino-4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid
Pubchem,93,126 °C,"
            ",689-31-6,C(CC(=O)O)C(=O)CC(=O)O,C(CC(=O)O)C(=O)CC(=O)O,"InChI=1S/C6H8O5/c7-4(3-6(10)11)1-2-5(8)9/h1-3H2,(H,8,9)(H,10,11)",RTGHRDFWYQHVFW-UHFFFAOYSA-N,3-oxohexanedioic acid
Pubchem,96,36.5 °C,"
            ",541-50-4,CC(=O)CC(=O)O,CC(=O)CC(=O)O,"InChI=1S/C4H6O3/c1-3(5)2-4(6)7/h2H2,1H3,(H,6,7)",WDJHALXBUFZDSR-UHFFFAOYSA-N,3-oxobutanoic acid
