Num_Features,MAE
10,141.06697637444267
20,131.22397035293199
30,127.18012276938262
40,122.73437086973733
50,121.81656581746283
60,121.86367952404109
70,121.31510928466294
80,120.36324329944723
90,119.71058469699008
137,118.42008079759674
187,118.4225812151198
237,117.14903630416818
287,117.18649670861282
337,116.71307440728772
387,117.38439626035729
437,117.28478058054623
487,117.49969965392103
537,117.11829808233732
587,117.40002147985315
637,116.76665460192582
687,117.17946011628031
737,117.0699769741975
787,116.62982134762642
837,116.84376074580048
887,116.25337298571151
937,116.48481951755619
