Num_Features,MAE
10,136.8187511235651
20,127.57819733550396
30,126.58118639463774
40,123.89839481132621
50,122.73923533078684
60,120.37847878966133
70,119.34225589407122
80,120.70976989891224
90,120.09917330246108
137,118.76870426936512
187,117.96893294553306
237,118.35894298466509
287,116.93581152562184
337,117.37695008991886
387,116.68336057450844
437,117.81849316361536
487,117.60874655618993
537,117.56548399510473
587,117.98764598529304
637,117.35600686846797
687,117.56364703048601
737,116.93586535248794
787,116.94250196143588
837,117.02627443928085
887,117.5827541599464
937,117.82905519518418
