Num_Features,MAE
10,140.64653326373275
20,130.1076831669293
30,121.75471878594475
40,119.18540711486021
50,118.6717521540438
60,119.05705385161764
70,119.2629145369489
80,118.23868379304955
90,118.68920891656083
337,115.47777021640395
387,115.19634169686394
437,115.06468152891522
487,114.95973010957469
537,114.38008000521825
587,114.55643910488095
637,114.89472513133545
687,114.73413656955609
737,114.76653391075756
787,114.39591499445777
837,114.67852704462051
887,114.66133953847245
937,114.17741125941454
